article_id,title,manual_sentiment,chunk_count,total_chunk_words,minimum_chunk_words,average_chunk_words,maximum_chunk_words
PB0001,Pinkbike Content Submission Guide,Positive,15,2763,56,184.2,222
PB0002,Review: Rad Racks Rad4 Double-Folding Bike Rack,Positive,8,1397,84,174.62,205
PB0003,Review: Giant Roost and Rail Helmets,Positive,7,1210,127,172.86,201
PB0004,Review: Devinci Chainsaw - Primed for the Bike Park,Positive,18,3476,173,193.11,243
PB0005,Review: Cannondale Habit Carbon LT1,Mixed,18,3591,181,199.5,226
PB0006,Review: 2023 Propain Tyee CF,Positive,13,2408,32,185.23,222
PB0007,Review: Cane Creek Coil IL Shock,Positive,7,1242,32,177.43,233
PB0008,Review: Formula Cura 4 Brakes,Positive,10,1850,131,185.0,237
PB0009,Review: Reserve 30|HD AL vs Race Face Turbine Wheels,Positive,9,1821,180,202.33,213
PB0010,Review: Hope HB.916 - Better Late Than Never,Mixed,19,3698,93,194.63,230
PB0011,Review: Vittoria Mazza Enduro Race Tires - A Compound Too Far?,Mixed,11,2064,125,187.64,217
PB0012,Review: RockShox Vivid - Shock Week 2023,Positive,5,889,120,177.8,200
PB0013,Review: DVO Topaz X - Shock Week 2023,Positive,6,1040,52,173.33,217
PB0014,Review: Marzocchi Bomber Air - Shock Week 2023,Positive,4,754,184,188.5,195
PB0015,WTB Develops New 750d Wheel Size,Mixed,2,307,117,153.5,190
PB0016,Review: Chromag Darco - A Very Big Little Bike,Positive,16,3075,160,192.19,219
PB0017,Review: 2023 Orbea Oiz M-Pro - Don't Call it Downcountry,Positive,14,2560,32,182.86,212
PB0018,Review: Scor 2030 - The Trail Bike You Didn't Know You Wanted,Positive,14,2609,32,186.36,225
PB0019,Review: Racer Gloves &amp; Joint Protection,Positive,10,1815,158,181.5,199
PB0020,Review: Prime Rocket - Another Carbon Downhill Spaceship from Eastern Europe,Positive,15,2913,157,194.2,209
PB0021,Review: Specialized Dissident 2 Helmet - Downhill Safety at an Enduro Weight,Positive,6,1013,52,168.83,224
PB0022,Review: Factor Lando XC,Positive,20,3841,102,192.05,235
PB0023,Review: Goodyear Newton MTR &amp; MTF Tires,Positive,10,1855,122,185.5,222
PB0024,"Review: How Canyon's KIS Could Change Mountain Biking, and Why It Probably Won't",Negative,16,3056,108,191.0,214
PB0025,Review: TranzX EDP01 Wireless Electronic Dropper Post,Mixed,6,1061,83,176.83,206
PB0026,Review: Five Lightweight Full Face Helmets,Mixed,15,2782,102,185.47,215
PB0027,Review: Reeb Steezl - US Made &amp; Super Capable,Positive,19,3613,73,190.16,244
PB0028,Review: Some Pleasant Apparel Surprises From YT &amp; Enve,Positive,6,1053,117,175.5,191
PB0029,Review: Kuat Huk Tailgate Pad,Mixed,6,1066,117,177.67,200
PB0030,Field Test Review: 2024 Commencal Meta 5 SX - Supercross for a Reason,Positive,9,1786,180,198.44,240
PB0031,Field Test Review: 2023 Unno Burn - You Know You're Curious,Positive,8,1463,84,182.88,218
PB0032,Review: Cane Creek Tigon - The Air Charged Coil Shock,Positive,10,1915,151,191.5,215
PB0033,Review: Spank 359 Downhill Wheels - Alloy Wheels Turned up to 11,Positive,9,1732,181,192.44,203
PB0034,Review: Rocky Mountain Slayer C50,Positive,13,2359,86,181.46,211
PB0035,Review: DT Swiss FR 1500 Wheelset,Positive,8,1536,139,192.0,236
PB0036,Review: We Are One Arrival 170 - An Enduro Race Bike That Can Climb,Positive,18,3400,140,188.89,213
PB0037,"Review: Trickstuff Piccola C22 Brakes - Light, Powerful, &amp; Pricey",Mixed,10,1952,167,195.2,220
PB0038,Review: 2024 Fox Float Factory Shock,Positive,7,1251,84,178.71,205
PB0039,Review: Five Ten Trailcross XT Shoes,Positive,6,1092,124,182.0,205
PB0040,Review: LoamLab Counterpunch Hand Protecting Grips,Positive,8,1381,86,172.62,197
PB0041,Review: EXT ERA V2.1 Fork,Positive,13,2402,47,184.77,219
PB0042,Review: Funn Python Flat Pedals - Thin &amp; Grippy,Positive,7,1329,131,189.86,226
PB0043,Review: Berd’s Hawk 30 Wheels Use String Spokes for Impressive Compliance,Positive,10,1842,120,184.2,202
PB0044,Review: Shimano GF800 GTX Flat Pedal Shoes - Grippy &amp; Ready for the Rain,Positive,7,1366,180,195.14,230
PB0045,Review: 2023 Transition Smuggler - The Little Ripper,Positive,20,3727,73,186.35,236
PB0046,Review: Atherton 130.X - The Lugged Carbon Cruiser,Positive,13,2586,181,198.92,225
PB0047,Review: Shimano XT Linkglide - Here For a Good Time AND a Long Time,Positive,12,2194,88,182.83,207
PB0048,Review: Cane Creek Electric Wings Titanium Cranks,Positive,6,1123,137,187.17,208
PB0049,Review: The Pivot Mach SL 4 Blends XC Speed &amp; Comfort,Positive,12,2336,180,194.67,237
PB0050,Review: BMB Reverse Raise Stem - The Stem That Wants to Change Mountain Biking,Mixed,10,1921,142,192.1,242
PB0051,Review: Devinci E-Troy Bosch GX LTD - An Aggro All-Mountain eMTB,Positive,19,3654,85,192.32,227
